Niger,NER,360
Nigeria,NGA,2080
Nicaragua,NIC,2130
Netherlands,NLD,46180
Norway,NOR,75990
Nepal,NPL,790
Nauru,NRU,10220
New Zealand,NZL,38970
OECD members,OED,37273.03953
Oman,OMN,14440
Other small states,OSS,12167.83002
Pakistan,PAK,1580
Panama,PAN,13100
Peru,PER,5970
Philippines,PHL,3660
Palau,PLW,12530
Papua New Guinea,PNG,2410
Poland,POL,12710
Pre-demographic dividend,PRE,1363.449809
Puerto Rico,PRI,
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,19820
Paraguay,PRY,3920
West Bank and Gaza,PSE,3180
Pacific island small states,PSS,3779.499637
Post-demographic dividend,PST,41596.57646
French Polynesia,PYF,
Qatar,QAT,61070
Romania,ROU,9970
Russian Federation,RUS,9230
Rwanda,RWA,720
South Asia,SAS,1743.197111
Saudi Arabia,SAU,20080
Sudan,SDN,2380
Senegal,SEN,950
Singapore,SGP,54530
Solomon Islands,SLB,1920
Sierra Leone,SLE,510
El Salvador,SLV,3560
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,5180
Sub-Saharan Africa (excluding high income),SSA,1452.639941
South Sudan,SSD,
Sub-Saharan Africa,SSF,1453.789524
Small states,SST,11088.16236
Sao Tome and Principe,STP,1770
Suriname,SUR,6020
Slovak Republic,SVK,16610
Slovenia,SVN,22000
Sweden,SWE,52590
Eswatini,SWZ,2960
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,14180
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,630
East Asia & Pacific (IDA & IBRD countries),TEA,7061.285003
Europe & Central Asia (IDA & IBRD countries),TEC,7858.316673
Togo,TGO,610
Thailand,THA,5960
Tajikistan,TJK,990
Turkmenistan,TKM,6650
Latin America & the Caribbean (IDA & IBRD countries),TLA,8148.572099
Timor-Leste,TLS,1790
Middle East & North Africa (IDA & IBRD countries),TMN,3850.292833
Tonga,TON,4010
South Asia (IDA & IBRD),TSA,1743.197111
Sub-Saharan Africa (IDA & IBRD countries),TSS,1453.789524
Trinidad and Tobago,TTO,15350
Tunisia,TUN,3500
Turkey,TUR,10930
Tuvalu,TUV,4970
Tanzania,TZA,910
Uganda,UGA,600
Ukraine,UKR,2390
Upper middle income,UMC,8191.687102
Uruguay,URY,15250
United States,USA,58270
Uzbekistan,UZB,1980
St. Vincent and the Grenadines,VCT,6990
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2170
Vanuatu,VUT,2920
World,WLD,10366.14333
Samoa,WSM,4100
Kosovo,XKX,3890
"Yemen, Rep.",YEM,
South Africa,ZAF,5430
Zambia,ZMB,1300
Zimbabwe,ZWE,910
