"op","name"
"SI03","Telekom Slovenije (incl. Mobitel)"
"SI05","Telemach (Slovenia)"
"SI04","Tus Telekom (formerly Voljatel)"
"ZA03","Afrihost (incl. Axxess DSL)"
"ZA01","iBurst (inc. Wireless Business Solutions)"
"ZA04","MWEB (South Africa)"
"ZA02","Telkom South Africa (incl. Telkom Mobile [formerly 8ta])"
"ZA05","Vox Telecom"
"ZA06","Web Africa"
"KR02","KT Corp"
"KR07","LG Uplus (formerly LG Telecom)"
"KR06","SK Broadband (formerly Hanaro Telecom)"
"ES01","Euskaltel"
"ES02","Grupo Corporativo ONO"
"ES03","Jazz Telecom (Jazztel)"
"ES04","Orange Espana"
"ES05","Telefonica Espana (Movistar)"
"ES06","Vodafone Spain"
"SE01","Com Hem (including UPC Sweden)"
"SE02","Tele2 Sweden"
"SE03","Telenor Sweden (incl. Glocalnet and Bredbandsbolaget)"
"SE04","TeliaSonera Sweden"
"CH01","Cablecom (UPC Switzerland)"
"CH02","Sunrise (formerly TDC Switzerland)"
"CH03","Swisscom"
"TW01","Chunghwa Telecom"
"TW02","kbro (Eastern Multimedia Co)"
"TW03","Taiwan Broadband Communications (TBC)"
"TH01","TOT"
"TH02","True Corp"
"TH03","Triple T Broadband"
"TR01","Turk Telekom"
"TR03","Turkcell Superonline (formerly Tellcom)"
"TR02","Turksat (Uydunet)"
"UA02","Datagroup"
"UA04","Kyivstar"
"UA05","Ukrtelecom (incl. TriMob)"
"UA06","Vega (formerly Farlep/Optima)"
"UA07","Volia"
"GB01","BSkyB (incl. Easynet and UK Online)"
"GB02","BT Group"
"GB07","EE (incl. Orange UK and T-Mobile UK)"
"GB05","KCOM Group"
"GB04","TalkTalk (incl. Tiscali UK)"
"GB09","Virgin Media"
"US19","AT&T"
"US01","Bright House Networks"
"US02","Cablevision Systems (US)"
"US20","CenturyLink"
"US04","Charter Communications"
"US05","Cincinnati Bell"
"US06","Clearwire"
"US07","Comcast"
"US09","Cox Communications"
"US12","Frontier Communications"
"US14","Mediacom"
"US15","Time Warner Cable (TWC)"
"US16","Verizon Communications"
"US17","Windstream Communications"
"VN01","FPT Telecom"
"VN02","Saigon Post and Telecommunications (SPT, Saigon Postel)"
"VN03","Vietnam Posts and Telecommunications (VNPT, inc. VDC)"
"VN04","Viettel Telecom"
"HR03","Optima Telekom"
"HR04","T-Hrvatski Telekom (incl. T-Mobile)"
"LV01","Baltcom (formerly Baltkom)"
"LV02","IZZI"
"LV03","Lattelecom Group"
"LV05","Unistars (Wireless Broadband)"
"LT01","Cgates (inc. VDNET, MVTV)"
"LT02","Lithuanian Radio and Television Centre (MEZON)"
"LT04","TEO LT"
"MA01","Maroc Telecom"
"MA02","Inwi (Wana)"
"PK01","Pakistan Telecommunication Company Limited (PTCL)"
"PK02","Wateen Telecom"
"PK03","Wi-Tribe (Pakistan)"
"PK04","Worldcall Telecom"
"RS01","Orion Telekom"
"RS02","Telekom Srbija"
"RS03","VeratNet"
"MT03","Vodafone Malta"
"PE04","Olo Peru"
"TH04","CAT Telecom"
"ZA07","Neotel (South Africa)"
"KZ01","KaR-Tel (Beeline)"
"ID05","Internux (Bolt!)"
"MT01","GO (formerly Maltacom)"
"BY01","Alternative Digital Network (incl. Atlant Telecom)"
"BY02","Beltelecom"
"BY03","Cosmos TV"
"CY01","Cyprus Telecommunications Authority (Cyta)"
"CY02","PrimeTel (Cyprus)"
"KZ02","Kazakhtelecom (KT)"
"BG06","Bulsatcom"
"CY03","Cablenet (Cyprus)"
"TR04","D-Smart Net (Dogan TV Holding)"
"TR05","Millenicom Turkey (inc. Doping)"
"TR06","Vodafone Net (incl. Borusan, Koc.net)"
"UA08","Triolan"
"US23","Suddenlink Communications"
"ID04","Bakrie Telecom"
"RU23","TransTeleCom (TTK)"
"CY04","MTN Cyprus (formerly Areeba)"
"CZ06","Vodafone Czech Republic"
"EG03","Vodafone Egypt"
"LU02","Orange Luxembourg"
"PE02","Claro Peru"
"RO07","Orange Romania"
"GB10","Vodafone UK"
"CA10","Eastlink"
"RS04","Serbia Broadband (SBB)"
"LT05","Balticum (Lithuania)"
"NO08","Altibox (inc. Lyse Tele)"
"VN05","Saigon Tourist Cable Television (SCTV)"
"IS03","Hringdu"
"PE03","Americatel Peru"
"MT02","Melita"
"BR12","TIM Participacoes (TIM Brasil)"
"RO08","Vodafone Romania"
"IS04","Tal"
"IE10","Sky Ireland"
"CH05","Quickline Media (inc. Finecom)"
"CA11","Xplornet Communications"
"PK05","LINKdotNET Pakistan"
"PK06","Qubee (Augere)"
"BR13","Copel Telecom"
